date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:43	66419/66419	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Dec%202018%2012:27:14%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	c:/My%20Web%20Sites/Book/demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	(from )
14:34:43	5249/5249	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jan%202019%2009:04:46%20GMT	https://demos.creative-tim.com/robots.txt		(from )
14:34:44	2446/2446	---M--	200	added ('OK')	image/png	etag:%225c179622-98e%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	c:/My%20Web%20Sites/Book/demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
14:34:44	2761/2761	---M--	200	added ('OK')	image/png	etag:%225c179622-ac9%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	c:/My%20Web%20Sites/Book/demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
14:34:46	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	c:/My%20Web%20Sites/Book/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
14:34:47	847/847	---M-Z	200	added ('OK')	text/css	etag:W/%225c179622-34f%22	https://demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	c:/My%20Web%20Sites/Book/demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
14:34:47	510314/510314	---M-Z	200	added ('OK')	text/css	etag:W/%225c179622-7c96a%22	https://demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min.css?v=2.1.0	c:/My%20Web%20Sites/Book/demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.minf066.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
14:34:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2008%20Jan%202019%2009:04:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	c:/My%20Web%20Sites/Book/www.googletagmanager.com/gtm.75445.delayed	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
14:34:48	171778/171778	---M--	200	added ('OK')	image/jpeg	etag:%2249c99bc1b2c088d94746d3b55081f2ec%22	https://s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	c:/My%20Web%20Sites/Book/s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
14:34:48	85214/85214	---M--	200	added ('OK')	image/jpeg	etag:%225c179622-14cde%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/faces/avatar.jpg	c:/My%20Web%20Sites/Book/demos.creative-tim.com/material-dashboard-pro/assets/img/faces/avatar.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
